code,PI,name,pre_close,price,change,time
300383,2.760834670947031,光环新网,14.760,15.290,3.59,09:54
002876,2.6865671641791042,三利谱,51.400,52.250,1.65,09:54
300691,2.660377358490566,联合光电,24.870,25.500,2.53,09:54
300685,2.634408602150538,艾德生物,52.800,53.380,1.10,09:54
300308,2.5990099009900987,中际旭创,48.180,50.300,4.40,09:54
300166,2.5628436763550666,东方国信,13.890,14.120,1.66,09:54
603856,2.525252525252525,东宏股份,15.930,16.350,2.64,09:54
600179,2.4407783417935707,安通控股,9.890,10.070,1.82,09:54
002792,2.4285714285714284,通宇通讯,22.360,23.200,3.76,09:54
300091,4.521951219512195,金通灵,10.000,10.990,9.90,09:55
600201,4.34355163337978,生物股份,15.820,16.060,1.52,09:55
603883,3.6306532663316586,老百姓,69.130,69.930,1.16,09:55
300146,3.525730180806676,汤臣倍健,19.900,20.160,1.31,09:55
002563,3.49618320610687,森马服饰,11.680,11.980,2.57,09:55
300601,3.392857142857143,康泰生物,41.880,44.590,6.47,09:55
300691,3.3756345177664975,联合光电,24.870,25.470,2.41,09:55
600521,3.365603644646925,华海药业,19.730,20.460,3.70,09:55
002741,3.062200956937799,光华科技,14.730,14.950,1.49,09:55
002376,2.981790591805766,新北洋,14.300,14.620,2.24,09:55
002268,2.9444444444444446,卫 士 通,19.220,20.690,7.65,09:55
603659,2.9261363636363633,璞泰来,49.420,50.070,1.32,09:55
300620,2.7952755905511815,光库科技,41.890,42.460,1.36,09:55
600345,2.740963855421687,长江通信,25.030,26.390,5.43,09:55
300047,2.7191129883843717,天源迪科,13.800,14.480,4.93,09:55
300323,2.67515923566879,华灿光电,12.670,12.830,1.26,09:55
600150,2.6515732924021487,*ST船舶,10.600,10.830,2.17,09:55
